STNO,YEAR,MM,DD,HH,insolation,Diffuse solar irradiation,SF_R,SF_S,Cloud Cover (octas),airTemp,Wet bulb temp (oC),Atmospheric Pressure (hPa),windSpeed in knots,windSpeed,Wind Direction (deg clock from N),RA,RD,Present weather code,SOLALT,airDensity
10,1981,1,29,0,0,0,0,0,0,1.7,1.7,1035.6,0,0,0,0,0,41,-27.9,1.312582609
10,1981,1,29,12.5,0,0,0,0,0,1.15,1.15,1035.5,0,0,0,0,0,41,-27.9,1.315087473
10,1981,1,30,1,0,0,0,0,0,0.6,0.6,1035.4,0,0,0,0,0,41,-27.9,1.317602403
10,1981,1,30,1.5,0,0,0,0,0,-0.3,-0.3,1035.4,0.515,0,165,0,0,45,-27.9,1.321948535
10,1981,1,30,2,0,0,0,0,0,-1.2,-1.2,1035.4,1.03,0,330,0,0,49,-25.95,1.326323433
10,1981,1,30,2.5,0,0,0,0,0,-1.2,-1.2,1035.3,1.03,0,315,0,0,49,-25.95,1.326195336
10,1981,1,30,3,0,0,0,0,0,-1.2,-1.2,1035.2,1.03,0,300,0,0,49,-22.6,1.326067238
10,1981,1,30,3.5,0,0,0,0,0.5,-1,-1,1035.1,1.03,0,285,0,0,49,-22.6,1.324964723
10,1981,1,30,4,0,0,0,0,1,-0.8,-0.8,1035,1.03,0,270,0,0,49,-18.4,1.323863826
10,1981,1,30,4.5,0,0,0,0,1,-1,-1,1035.05,1.03,0.25722,295,0,0,49,-18.4,1.324900721
10,1981,1,30,5,0,0,0,0,1,-1.2,-1.2,1035.1,1.03,0.51444,320,0,0,49,-13.85,1.32593914
10,1981,1,30,5.5,0,0,0,0,1,-1.45,-1.45,1035.15,1.03,0.25722,315,0,0,49,-13.85,1.327223288
10,1981,1,30,6,0,0,0,0,1,-1.7,-1.7,1035.2,1.03,0,310,0,0,49,-9.15,1.328509801
10,1981,1,30,6.5,0,0,0,0,1,-1.85,-1.85,1035.35,1.03,0,305,0,0,49,-9.15,1.329436932
10,1981,1,30,7,0,0,0,0,1,-2,-2,1035.5,1.03,0,300,0,0,49,-4.6,1.330365089
10,1981,1,30,7.5,0,0,0,0,1.5,-2.05,-2.05,1035.55,0.515,0,150,0,0,49,-4.6,1.330674703
10,1981,1,30,8,2.5,2.5,0,0,2,-2.1,-2.1,1035.6,0,0,0,0,0,49,0.9,1.330984431
10,1981,1,30,8.5,2.5,2.5,0,0,2,-1.65,-1.65,1036,0.515,0,180,0,0,49,0.9,1.32929162
10,1981,1,30,9,21.5,21,0,0,2,-1.2,-1.2,1036.4,1.03,0,360,0,0,49,3.6,1.32760441
10,1981,1,30,9.5,21.5,21,0,0,2,-1.1,-1.1,1036.4,1.03,0,355,0,0,49,3.6,1.32711641
10,1981,1,30,10,42.5,42.5,0,0,2,-1,-1,1036.4,1.03,0,350,0,0,49,6.8,1.326628769
10,1981,1,30,10.5,42.5,42.5,0,0,2,-0.7,-0.7,1036.5,1.03,0,305,0,0,46,6.8,1.325295854
10,1981,1,30,11,69,68.5,0,0,2,-0.4,-0.4,1036.6,1.03,0,260,0,0,43,9.15,1.323965872
10,1981,1,30,11.5,69,68.5,0,0,2.5,-0.05,-0.05,1036.45,1.03,0.25722,265,0,0,43,9.15,1.322077764
10,1981,1,30,12,77,76.5,0,0,3,0.3,0.3,1036.3,1.03,0.51444,270,0,0,43,10.35,1.32019449
10,1981,1,30,12.5,77,76.5,0,0,3,0.75,0.75,1036.05,1.03,0.51444,280,0,0,43,10.35,1.317707531
10,1981,1,30,13,79,78.5,0,0,3,1.2,1.2,1035.8,1.03,0.51444,290,0,0,43,10.35,1.315228731
10,1981,1,30,13.5,79,78.5,0,0,3,1.5,1.5,1035.7,1.03,0.51444,275,0,0,44,10.35,1.313665269
10,1981,1,30,14,68.5,68,0,0,3,1.8,1.8,1035.6,1.03,0.51444,260,0,0,45,9.15,1.312105219
10,1981,1,30,14.5,68.5,68,0,0,3,2,2,1035.65,1.03,0.51444,295,0,0,45,9.15,1.311214785
10,1981,1,30,15,39.5,39,0,0,3,2.2,2.2,1035.7,1.03,0.51444,330,0,0,45,6.85,1.310325645
10,1981,1,30,15.5,39.5,39,0,0,3,2.25,2.25,1035.7,1.03,0.25722,300,0,0,46,6.85,1.31008775
10,1981,1,30,16,11,11,0,0,3,2.3,2.3,1035.7,1.03,0,270,0,0,47,3.65,1.309849941
10,1981,1,30,16.5,11,11,0,0,3.5,2.25,2.25,1035.75,1.03,0,250,0,0,46,3.65,1.310150996
10,1981,1,30,17,1.5,1.5,0,0,4,2.2,2.2,1035.8,1.03,0,230,0,0,45,0.9,1.31045216
10,1981,1,30,17.5,1.5,1.5,0,0,4,2.05,2.05,1035.95,1.285,0,220,0,0,44,0.9,1.31135631
10,1981,1,30,18,0,0,0,0,4,1.9,1.9,1036.1,1.54,0,210,0,0,43,-4.55,1.312261447
10,1981,1,30,18.5,0,0,0,0,4,1.8,1.8,1036.25,1.285,0,215,0,0,44,-4.55,1.312928769
10,1981,1,30,19,0,0,0,0,4,1.7,1.7,1036.4,1.03,0,220,0,0,45,-9.1,1.313596578
10,1981,1,30,19.5,0,0,0,0,4,1.5,1.5,1036.4,1.03,0,235,0,0,44,-9.1,1.314553138
10,1981,1,30,20,0,0,0,0,4,1.3,1.3,1036.4,1.03,0,250,0,0,43,-13.8,1.315511093
10,1981,1,30,20.5,0,0,0,0,4.5,1.15,1.15,1036.55,1.03,0,255,0,0,45,-13.8,1.316420976
10,1981,1,30,21,0,0,0,0,5,1,1,1036.7,1.03,0,260,0,0,47,-18.35,1.317331854
10,1981,1,30,21.5,0,0,0,0,5,0.85,0.85,1036.95,1.285,0,255,0,0,47,-18.35,1.31837087
10,1981,1,30,22,0,0,0,0,5,0.7,0.7,1037.2,1.54,0,250,0,0,47,-22.5,1.319411023
10,1981,1,30,22.5,0,0,0,0,5,0.6,0.6,1037.3,1.54,0,265,0,0,45,-22.5,1.320020255
10,1981,1,30,23,0,0,0,0,5,0.5,0.5,1037.4,1.54,0,280,0,0,43,-25.85,1.320629933
10,1981,1,30,23.5,0,0,0,0,5,0.25,0.25,1037.25,1.285,0.51444,260,0,0,45,-25.85,1.321646404
